toxic_sentence,non_toxic_sentence,lang
"жесть какая-то. дети без матери, отец долбоёб в тюрьме.","Ужас какой то.Дети без матери, отец глупый в тюрьме",ru
Какого хуя он до сих пор не в бане?,почему он до сих пор не в бане?,ru
гниды пиндосовские считают себя хозяивами земли,Американцы считают себя хозяевами земли,ru
хорош хуеть !!!!я сейчас еще в службу поддержки нахурярю на вас защеканцы!!!!!!!!!!,Не наглейте!!! Я сейчас еще в службу поддержки напишу на вас не хорошие люди,ru
Самое тупое - это невозможность удалить все оставленные где-то комментарии,Самое глупое - это невозможность удалить все оставленные где то комментарии,ru
"это щяс так он пиздит.до власти добираются,другие люди становятся.уроды","Сейчас так говорит. До власти добираются,другие люди становятся",ru
"пиндосы не успокоятся, пока россию не развалят.","американцы не успокоятся, пока Россию не развалят.",ru
"по себе не суди, жопадающий",По себе не надо судить.,ru
и на этом закончить с тобой беседу .............видно чмо капитальное .......,И на этом закончить с тобой беседу...... Видно не человек,ru
да потому что козлы по телефону пиздят когда едут!!!!! своими глазами вижу каждую неделю мотаюсь по областям,да потому что по телефону разговаривают когда едут! своими глазами вижу каждую неделю мотаюсь по облостям,ru
"посадить на наши пенсии, ущнает сука",Посадить бы на наши пенсии,ru
какой идиот придумал неделю досрочных выборов ?,какой человек придумал неделю досрочных выборов ?,ru
да всем насраааааааааааааааааааать на это уебище,Да всем всё равно на этого человека,ru
"ах ты ссука, конченая ты тварь, получается это я бухал не появляюсь дома по две недели.","эх ты, получается это я бухал и не появлялся дома по две недели.",ru
"весь мир видел,свидетелей тьма,а он блядь сервер дрючит,ну не надо из людей таких же дебилов делать каким сам является.","Весь мир видел, много свидетелей, а он сервер изнашивает, ну не надо из людей таких же делать каким сам является",ru
"Чтоб костями не колола, бл ать!",Чтоб костями не колола!,ru
да и пусть хуярит туда . придурок,да и пусть идет туда,ru
нет вы не правы она у меня очень достойная девочка моя только всякую мразь почему то слушает:-(,Нет вы не правы она у меня очень достойная девочка моя только всяких нехороших людей слушает,ru
урод такое впечатление что сейчас вся полиция похожа на этого дебила,Умник такое впечатление что сейчас вся полиция похожа на этого красавца,ru
гетте самый известный педераст в группе.,Гетте самый известный человек в группе,ru
"писать научись правильно еблан, тогда и лайкать будет не стыдно.","Писать научись правильно, тогда и лайкать будет не стыдно.",ru
я бы сказал так: надо гнать всех депутатов-идиотов!,я бы сказал так: надо гнать всех депутатов,ru
надейся и верь тупой россиянский пидарас ! это все что тебе осталось!,надейся и верь! это все что тебе осталось!,ru
"Они поддерживали свой народ, они же националисты, ты забыл, даун? Путина они не поддерживали.","Они поддерживали свой народ, они националисты, ты забыл? Путина они не поддерживали",ru
кто придумал-это мутатень....того накол надо посадить!!!,кто придумал-это глупость....того надо наказать!,ru
с которым через час расстанешься и будешь трахаться с другими?,С которым через час расстанешься и встретишь другого?,ru
к своей башке представил бы пидор.,К своей башке приставил бы,ru
догавкаетесь до того что россия отвернётся и вас сожрут с потрахами.,Договоритесь до того что россия отвернётся и вас съедят,ru
и что это ? скажем так то что твориться в россии просто пидор!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,И что это ? скажем так то что твориться в россии просто ужас!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,ru
мне все рано что ты как называешь) соска унитазная,"Мне без разницы, как и что ты называешь",ru
"дебилы, пэк. а не пек. фирсофу с филатовым позвоню, скажу, что такую херню пишите!","""Пэк"" а не ""пек"", фирсофу с филатовым позвоню, скажу что так пишете!",ru
падла за рулём ну да мы же забыли папина дочя за рулём им же всё можно....,девушка за рулём ну да мы же забыли папина дочь за рулём им же всё можно....,ru
"уже не знают как привлечь к себе внимание, ебё....в опу,нам это зачем рассказывать и показывать","Я уже не знают, как обратить на себя внимание, зачем нам это все показывать",ru
"речь идёт о поступке настоящих мужиков, про дебилов, речь не шла","Речь идет о поступке настоящих мужиков, про других речь не шла",ru
уровень 7139 редкий гад! всем тем кто до него дойдет желаю великой удачи-а тем кто его придумал-наоборот!,уровень 7139 плохой! всем тем кто до него дойдет желаю великой удачи-а тем кто его придумал-наоборот!,ru
так этот акимат только себе в карман ложит бабки а для людей они нечего делать не будут хуилы ни дорог ни парка полная жопа гавноеды,"так этот акимат только себе в карман кладет деньги. а для людей они нечего делать не будут. ни дорог, ни парка. полное разочарование",ru
а что то не так.гнилой твой рот,а что то не так?,ru
"эй, принц хуев! читай историю, своей страны внимательно, а не под кайфом!",Читай историю своей страны внимательно,ru
ефремов трусливое подлое мерзкое существо один негатив вызывает эта падлюга,ефремов один негатив вызывает,ru
ты чего людям пиздишь животное,Ты зачем обманываешь людей?,ru
"такая группа о самарканде, и этих блядей рекламируете, вот зачем?????????","Такая группа о Самарканде, и этих рекламируете, вот зачем?????",ru
сколько говна было на меня вылито,Сколько неприятного было на меня вылито,ru
"потому что выродок тебе сказать нечего, сидишь шестерка не знаешь кому угодить выебок путинский.","Потому что тебе сказать нечего, сидишь и не знаешь кому угодить.",ru
"за ер? прошу вколоться:d много ли за пидарков проголосуют, хотя фанатов в любой секте хватает","За ер? Много ли людей проголосуют, хотя фанатов в любой секте хватает",ru
"выучи сначала русский язык,или белорусский а потом вякай быдло","выучи сначала русский язык, или белорусский а потом говори",ru
"чинуш, кто даёт разрешение на вырубку-вешать за яйца невзирая на ранг",Кто даёт разрешение на вырубку - наказывать невзирая на ранг,ru
это не современные девушки а ебанутые девушки. современные нормальные. не путайте хуй с гусиной шеей,Это не современные девушки. Современные нормальные. Не путайте.,ru
"Что это за поток говна? Ответить на вопрос не в состоянии, свинья?",Что это за поток обвинений? ответить на вопрос не в состоянии!,ru
Просто такого дебилизма и показухи у нас даже к проверке Путина не было,Просто такого у нас даже к проверке Путина не было,ru
"дой бог, чтобы ты испытала тоже самое. вот от таких тварей и рождаются такие ублюдки.","Дай бог, чтобы ты испытала тоже самое, вот от таких плохих и рождаются плохие",ru
"псина ебучая, что скажут, то и пиздит в эфире на своём ебучем телеканале",Что скажут то и говорит в своем эфире,ru
че хватило? че добавить? жопой жирной что ли покрутила? :-d :-d,Что хватило? Что добавить?,ru
а свое мнение и мысли при себе держи мудило ебаное.,оставьте свои мысли при себе,ru
"дура, берет ором. других учит, та сама личную жизнь не устроила","других учит, та сама личную жизнь не устроила",ru
"правильно, дальше эти ублюдки маньяками станут!!","правильно, дальше эти люди маньяками станут!!",ru
и я буду рад этому!!! сучья путинская власть в деле,И я буду этому!!! Путинская власть в деле,ru
очистите страну от всей этой швали,очистите страну от всех плохих вещей,ru
"Ловко наебал - значит молодец, понятия подлость и честь отсутствуют нацело","Ловко обманул - значит молодец, понятия подлость и честь отсутствуют нацело",ru
"glav.su, cont.ws Какие-то интересные сайты? Ты там сидишь? Пойду чекну, спасибо за подсказку, пидораш.","Какие-то интересные сайты? Ты там сидишь? Пойду тоже схожу, спасибо за подсказку.",ru
из подтишька по мышачи умеют пидоры бить.,из подтишка умеют бить,ru
"наше сми, одни, ублюдки, показывают то, что им выгодно, и кому очко лизнцть",На телевидение и в газетах один обман.,ru
"пидорас он конченый,позорит доброе имя олега ефремова,нет слов,пидорас он и есть пидорас.","позорит доброе имя олега ефремова,нет слов",ru
"велком это вообще полная дрянь, а по внешнему виду даже и не подумаешь.","Велком это вообще полная ерунда, а по внешнему виду даже и не подумаешь",ru
таких выродков как этот нужно сразу на кол садить чтобы другим не повадно было,"Таких хулиганов нужно наказывать сразу, чтоб другим не повадно было",ru
"ну, александр,представляющий в комментариях мужское мнение,насколько я поняла,был фраппирован и оп*здошен запросами мамзелей","Ну,Александр,представляющий в комментариях мужское мнение,насколько я поняла,был окружен запросами женщин.",ru
"Фррррр ПУК-ПУК По фактам есть что сказать, дикарь?","ты можешь сказать что-то со смыслом, парень?",ru
"твой рот ебал дело не в религии , кто вы если не запасные евреи и не кавказцы?","Дело не в религии ,кто вы если не евреи и не кавказцы?",ru
"Кстати, тупая шутка про коран Кому как","Кстати, плохая шутка про коран Кому как",ru
"В настройках поставил дваче капчу, а уменя опять эта ебанная гугловская срань появляется","В настройках поставил дваче капчу, а у меня опять это странная гугловская иконка появляется",ru
кто вам тварям крысам дал право распоряжаться народным достоянием суки едино пидоры,Кто вам дал право распоряжаться народным достоянием,ru
везде бабушки блядь а дедушки ведь она пиздует к внукам а дед ебашет на работе и всегда она хорошая а дед хуевый парадокс,"везде бабушки и дедушки: бабушка ездит к внукам, а дед работает, но она всегда хорошая, а дедушка плохой. Парадокс!",ru
мрази бедный ребёнок я представляю какая у него ненависть к родителям.,бедный ребёнок я представляю какая у него ненависть к родителям.,ru
", я тупой и не понял шутки или это спам?",Я глупый и не понял шутки или это спам?,ru
стоит ли так реагировать на очередного придурка?,Стоит ли так реагировать на человека не в себе?,ru
вот ето пидараст етово вообше надо въигнать из всех турниров,Его нужно исключить из всех турниров.,ru
"видать, неслабо тебе забашляли ефремовские родственнички, или дружки, если ты так старательно рвёшь за него очко.","видать, неслабо тебе забашляли ефремовские родственнички, или дружки, если ты так старательно заступаешься за него.",ru
молодец!!! обезьянам пиздюлей отвесила.а то что судят то это ебаная толерантность.,"Молодец!!! Наказала этих людей. А то что судят, то это толерантность",ru
потому что в думе сидят дебилы и дебилов хотят выростить,потому что в думе сидят такие люди и таких же людей хотят выростить,ru
пидор хотел полит убежище получить а менты не дали его помять -облом вышел ну ничего может в 2021 получится.,"Он хотел полит убежище получить, а полицейские не дали, ну ничего может в 2021 получится.",ru
я смотрю эти олероновская шайка все забайкалье заибло,я смотрю это группа людей все забайкалье запугало,ru
а щас бегают с этой демократией суки продажные.,а щас бегают с этой демократией.,ru
"Надо было не арестовывать, а просто в дурку закрыть.","надо было не арестовывать, а отправлять в спец места для лечения",ru
нахрена фейк распространять? этому ролику 100лет в обед! это дибилом надо быть!,"зачем фейк распространять ?это ролику 100 лет,нужно думать",ru
"сволочи, как они живут после этого.",как они живут после этого.,ru
"даже вголове неукладывается, что есть такие дебильные дуры.","даже вголове неукладывается, что есть такие девушки",ru
вот ты первый провокатор и провокационные вопросы задаешь пшол вон нахрен :-p,вот ты первый провокатор и провокационные вопросы задаешь,ru
"не брехай, убогий, 100 тыш пришло к белому ( не факт! жёлтому дому) в вашингтоне!",100000 человек пришло к Белому дому в Вашингтоне.,ru
"а нас наши умники из министерств по западным шаблонам учить надумали , уроды конченые",А нас наши умники из министерств по западным шаблонам учить надумали,ru
а современным тем более насрать на интересы нашей страны,а современным тем более все равно на интересы нашей страны,ru
вы что ебнутые на всю голову???,Вы что с ума сошли?,ru
"ещё открывает свой поганый , рабочий рот",Ещё открывает свой рот,ru
ты чего так обзываешь участников этой группы может сам такой педераст,ты чего так обзываешь участников этой группы может сам такой,ru
казнить на месте нечего войну раздувать с братских народом,"Не стоит раздувать войну с братским народом, за это надо наказывать.",ru
их. действительно. убили. вопрос кто. это те. стремилы. которые увласти. пидарасты. все. которые. сидят в думе. проститутки,их. действительно. убили. вопрос кто. которые увласти.все. которые. сидят в думе.,ru
"путин, сука! ты президент!, какой страны?","путин! ты президент!, какой страны?",ru
этот козел отменил пособия на детей матерям одиночкам,Он отменил пособия на детей матерям одиночкам,ru
"сколько вышло на улицы проплаченных долбоебов, лишь бы не работать!","Сколько вышло на улицу проплаченных людей, лишь бы не работать!",ru
"зачем нервировать животяху? а когда она цапнет этого придурка, то разорется, что обезьяна виновата","Зачем нервировать животное? А когда она укусит этого человека, то разорется, что обезьяна виновата",ru
это долбоебизм ! так нельзя .,это глупо ! так нельзя .,ru
"Они смешные и милые унтерки, а Стас как гоблин из падика себя ведёт и тем отталкивает","Они смешные и милые, а Стас ведёт себя не достойно и тем отталкивает.",ru
"Схуя это в эсэсэре был коммунистический режим, дебилушка? В этом и юмор",С чего бы это в эсэсэре был коммунистический режим? В этом и юмор,ru
"даааа, время идёт, а идиотов, все больше и больше.....","даааа, время идёт, а странных людей, все больше и больше.....",ru
ты что до всех довыёбываешься троль заокеанский,Почему ты всех цепляешь?,ru
"убить суку, это не отец",Это не отец,ru
"заебали вы уже, вам не угодиш, тролли бля.",вам не угодишь.,ru
"вы будете пиздеть о том кто и как тут сдулся, лег, не встал, встал но не так...","вы будете говорить о том кто как сдулся, лег, не встал, встал, но не так",ru
"норма, с и что здесь смешного?!, бля, дибилы",Что здесь смешного?,ru
это какой засранец такую хуйню придумывает?,это какой человек такое придумывает,ru
"козел!!!!!!! ему бы там пожить. продумано до мелочей,как угробить людей за 10 жизни.","ему бы там пожить. продумано до мелочей,как угробить людей за 10 жизни.",ru
"пиздюки едут с выебоном, а люди погибают.","Люди едут повыделываться, а люди погибают.",ru
"Зашел на сайт с играми, выбрал с веселой картинкой, а там вместо игры эта поебетень.","Зашёл на сайт с играми, выбрал с весёлой картинкой, а там вместо игры такая ерунда.",ru
на корню надо душить эту заразу.,На корню надо это пресекать,ru
"этим пидорасам я оказалась очень нужной!а я сказала, что теперь мне похуй!!","Этим людям я оказалась очень нужной! А я сказала, что мне все равно",ru
"прошу прощения, но вы просто дебил, если задаете такие вопросы.","прошу прощения, но вы просто не особо умный, если задаете такие вопросы.",ru
Все мои аргументы были заглушены поросячьим визгом,Все мои аргументы были заглушены визгом,ru
одним словом уебище которое живут в говне и последний зер без соли доедают,Одним словом нищие которые последнее доедают,ru
"Не, по феменистски это когда бабы-страшилы снимаются, так что не прокатит в данном случае)","Не, по феминистски это когда некрасивые женщины снимаются, так что не прокатит в данном случае",ru
"чудо, с каких хуев, россия была процветающей в начале 20 го века...","чудо, с чего ты взял что, россия была процветающей в начале 20 го века...",ru
"Проблема не выбить дерьма из макак, а получить прибыль","проблема не выбить дурь из макак, а получить прибыль",ru
да ты просто пидарас конченный! о чём с тобой тварь общаться можно !,Да ты просто не прав! О чём можно с тобой общаться!,ru
"и ты , ебанушка меня хочешь чему то учить ?",и ты меня хочешь чему то учить ?,ru
"сидишь и тусуеш, урод!!!!! просто нет слов",Сидишь и тусуешь!!! Просто нет слов,ru
"то ,что у нас президент сволочь-клоун, виноват не народ, а та сволочь которая была президентом до него...","то ,что у нас президент ужасен и нелеп, виноват не народ, а та личность которая была президентом до него...",ru
"вот сучка жестокая... а родители снимают на камеру.... нет бы, пиндюлей навешать!",Какая жестокая... а родители снимают на камеру... нет бы наказать!,ru
"что за маразм? ты к чему призываешь, дятел?",Что за глупости? К чему ты призываешь?,ru
"Эх, как мы могли проебать свою свободу","Эх, как мы могли потерять свою свободу",ru
нету на че смотреть одна хуйня подзаборная,Нет на что смотреть,ru
эту тварь судить надо я даже матерью ёё назвать не могу,"эту женщину надо судить,потому что она является плохой матерью",ru
"конечно глупо, но мне жаль этих доверчивых людей, а аферистов которые в основном обманывают стариков нужно на кол сажать.","конечно глупо, но мне жаль этих доверчивых людей, а аферистов которые в основном обманывают стариков нужно наказывать",ru
ты сама то что сделала? ни хера ты не сделала,Ты сама то что сделала? Ничего ты не сделала,ru
им там глубоко насрать на ваше мнение,им все равно на ваше мнение,ru
"меня просили в комментариях - ну так и ответь в комментариях,кармодрочерство повсюду","меня просили в комментариях - ну так и ответь в комментариях, докопались повсюду",ru
у нас своих уродов хватает.пускай менты лучше работают а не на жопе сидят,"у нас своих плохих людей хватает. пускай полиция старается лучше работать, а не бездействует",ru
выспались сволочи и не знают за что опладировали,выспались и не знают за что апладировали,ru
вот так до уёбков быстрее доходит.,Вот так до людей быстрее доходит.,ru
не могла найти где тебе гаду написать,Не могла найти где тебе написать,ru
наградить грамотой? !! этого либераста пидараса!!!!,наградить грамотой? !! этого представителя либеральной партии!!!!,ru
это! эти—ублюдки! как можно так?!,Как можно так?!,ru
дааааа пизда пришла нашему легендарному заводу!¡!!!,Да конец пришёл нашему легендарному заводу,ru
потому что ты долбоёб ленивый ! жена ему плоха...)))))),Ты ленивый.жена ему не такая,ru
"Тебя это ебать не должно, пидарюга",Тебя это волновать не должно,ru
люди убедительная просьба не обращать на эту дуру внимания.,люди убедительная просьба не обращать на эту женщину внимания.,ru
"гандон, который поработил народ, который в него верит","Он поработал народ,который в него верит",ru
как те которые вьебали дохера денег на ручку которая может писать в невесомости если можно было взять карандаш,Как те которые потратили много денег на ручку которая может писать в невесомости если можно было взять карандаш,ru
долбаёб потом сам каналию будет чистить,Потом сам канализацию будешь чистить.,ru
"господи,как жалко детей,которые страдают из за таких уродов!:(","Господи, как жалко детей которые страдают из за таких людей!",ru
"дураком прикинулся,тут помню , тут не помню козёл.","Глупым человеком прикинулся: то помнит, тоне помнит.",ru
"Не думаю, даже с его жирной ряхой 16 оппозицинеров ему не заменить, пятерых максимум","Не думаю, с его лишним весом 16 оппозиционеров ему не заменит, пятерых максимум",ru
"Я всегда с клепками беру, что бы мозг не ебсти и никуда не ездить.","Я всегда с клепками беру , чтобы не заморачиваться и никуда не ездить",ru
"убил человека, и в данный момент отрицает свою вину , ну не гавно ли ?",убил человека и в данный момент отрицает свою вину,ru
У меня эта ссанина ауешная регулярно в рекомендуемых вылезала.,У пеня это регулярно в рекомендуемых вылезала,ru
это тебе манде надо валить из питера и бегом пока тебя там не удавили ! блядь жидовская,"Это вам нужно уезжать из Питера, и быстро.",ru
о скудное умишко не успокаивается все высерает из себя),А он все не успокаивается.,ru
ну и дурак ! нужно россию присоеденнить к белорусии - лучщеб было !,Нужно Россию присоединить к Белорусии лучше бы было,ru
эту тварь посадить на 12 тысяч и посмотрим паскуда,Посадить бы его на 12 тысяч и посмотреть как бы себя тогда повёл,ru
если дебилы эти маски брюликами украшают да по сто пятьдесят покупают .можно и по полтосу продавать,Если люди эти маски брюликами украшают да по сто пятьдесят покупают можно и по пятьдесят продавать,ru
"а может быть, тебя, вместе с такими как ты, просто в жопу послать?","а может быть, тебя, вместе с такими как ты, просто игнорировать?",ru
И как бонусом регулярная реклама яндекс обрыгаловки.,И бонус реклама Яндекс доставки,ru
и почему пидр уася так слезно выпрашивает?,и почему уася так слезно выпрашивает?,ru
"вы обсолютно правы.хипишь подняли из за быка,что эти люди сволочи.а этот бычара завалит сразу троих, их это не беспокоит.","Вы обсалбтно правы. Панику подняли из-за одного человека, что эти люди плохие, а этот человек завалить сразу троих, их это не беспокоит.",ru
жирик предал фургала жопой крутит скомарох,жириновский предал фургала,ru
режиссер хуеплет у собаки лапы связаны,Плохой режиссёр у собаки лапы связаны,ru
кому то было невесело ...тем пидорам которые упразднили эту практику ..,кому то было невесело ...тем кто упразднил эту практику ..,ru
города волнуются а вы пидарасы за одну плешивую тварь держитесь людей недовольных миллионы а вы тут херню несете,"Города волнуются, а вы держитесь за одного. Людей недовольных миллионы, а вы тут несёте чушь",ru
ты ебланка пишешь фи на оборот кросота,"Ты пишешь фи, наоборот-красота",ru
не могут писад конституцию пускай не пишут эти пидарасв,"не могут писать конституцию, пускай не пишут",ru
какой ебанашка придумал такие задачи,Какой человек придумал такие задачи!,ru
"Да заебись деваха, дрочилы вы журнальные... как несколько нормальных баб с утра повидаете, так по другому рассуждать начнете.","Хорошая девочка. Как несколько нормальных женщин с утра повидаете, так по другому рассуждать начнёте.",ru
